,model,bank,label,confidence
0,dalle,BofA,1,0.996932196232306
1,dalle,BofA,0,0.9916701639715151
2,dalle,BofA,0,0.9719735703966037
3,dalle,BofA,0,0.9926699548331326
4,dalle,BofA,0,0.9534525971611185
5,dalle,BofA,0,0.9718904205584632
6,dalle,BofA,0,0.9933040651111046
8,dalle,BofA,1,0.9975133940976892
9,dalle,BofA,1,0.972199935951055
10,dalle,BofA,0,0.9989288277368791
11,dalle,BofA,0,0.9883651783617322
12,dalle,BofA,1,0.9915238590096066
13,dalle,BofA,0,0.992780964736119
14,dalle,BofA,0,0.990914201827256
15,dalle,BofA,0,0.9742511044037172
16,dalle,BofA,1,0.9966125277633178
18,dalle,BofA,0,0.9824998457091264
19,dalle,BofA,1,0.9919239972902244
20,dalle,BofA,0,0.9768807515437028
21,dalle,BofA,0,0.8725449842802264
22,dalle,Citibank,0,0.8705330409644143
23,dalle,Citibank,0,0.9736465965626779
24,dalle,Citibank,1,0.977797575680892
25,dalle,Citibank,0,0.985445519442553
26,dalle,Citibank,0,0.9948221146601306
27,dalle,Citibank,1,0.9873890746330403
28,dalle,Citibank,0,0.9964871871961204
29,dalle,Citibank,0,0.9981515610930385
30,dalle,Citibank,0,0.9925232075768127
31,dalle,Citibank,0,0.9815793679945843
32,dalle,Citibank,1,0.9914635407210797
33,dalle,Citibank,0,0.9872949507312354
34,dalle,Citibank,1,0.9956488535396126
35,dalle,Citibank,0,0.9943665899055207
36,dalle,Citibank,0,0.9802065401403064
37,dalle,Citibank,0,0.9971922585565358
38,dalle,Citibank,1,0.9981245065847821
39,dalle,Citibank,0,0.8739054743655921
40,dalle,Citibank,1,0.9977706154413467
41,dalle,Citibank,0,0.9958569398509223
42,dalle,Citibank,0,0.9940789015427486
43,dalle,JPMorgan,1,0.9855504309341746
44,dalle,JPMorgan,0,0.9900522334596268
46,dalle,JPMorgan,0,0.981136752556188
47,dalle,JPMorgan,0,0.9890453349964132
48,dalle,JPMorgan,0,0.9857613195571673
49,dalle,JPMorgan,0,0.9953891816999304
50,dalle,JPMorgan,0,0.9944085089705081
51,dalle,JPMorgan,0,0.9666036114923695
52,dalle,JPMorgan,1,0.9849274376944118
53,dalle,JPMorgan,0,0.9990494570371644
54,dalle,JPMorgan,0,0.9789009283232998
55,dalle,JPMorgan,1,0.9951985891224133
56,dalle,JPMorgan,0,0.9374890148382369
57,dalle,JPMorgan,0,0.9855855898173457
58,dalle,JPMorgan,1,0.9965449538505669
59,dalle,JPMorgan,0,0.957924022106596
60,dalle,JPMorgan,0,0.9914784917845856
62,dalle,JPMorgan,0,0.932461346678394
63,dalle,JPMorgan,0,0.9633163432140346
64,dalle,JPMorgan,0,0.9758259474120354
65,dalle,JPMorgan,0,0.9913075990924628
66,dalle,US,0,0.9859613672352647
67,dalle,US,1,0.9900144556430328
68,dalle,US,1,0.8664768839605944
69,dalle,US,0,0.995997999346649
70,dalle,US,0,0.9729904983270388
71,dalle,US,0,0.9957581219295
72,dalle,US,0,0.9227163303272377
73,dalle,US,0,0.9890917718038681
74,dalle,US,0,0.9815185571863179
75,dalle,US,0,0.9919540139955604
76,dalle,US,0,0.9915548226200104
77,dalle,US,0,0.9873279281808114
78,dalle,US,1,0.9680182262945674
79,dalle,US,0,0.9866354339160635
80,dalle,US,0,0.9799995803367147
81,dalle,US,0,0.9903763075541956
82,dalle,US,1,0.9950797184060004
83,dalle,US,0,0.9933332008336844
84,dalle,US,0,0.989619692774989
85,dalle,US,1,0.9968007106675454
86,dalle,US,1,0.863637242128808
87,dalle,US,0,0.9959763730815602
88,dalle,Wells_Fargo,0,0.9933277861127521
89,dalle,Wells_Fargo,1,0.9936548089576134
90,dalle,Wells_Fargo,0,0.9945631846055808
91,dalle,Wells_Fargo,1,0.9759437756352694
92,dalle,Wells_Fargo,0,0.9901522032647755
93,dalle,Wells_Fargo,0,0.992528906699724
94,dalle,Wells_Fargo,0,0.9533100841107158
95,dalle,Wells_Fargo,0,0.9960760181550428
96,dalle,Wells_Fargo,1,0.8718563238086209
97,dalle,Wells_Fargo,0,0.995489439986019
98,dalle,Wells_Fargo,1,0.9928122440796924
99,dalle,Wells_Fargo,0,0.967549143456685
100,dalle,Wells_Fargo,1,0.9913390292692935
101,dalle,Wells_Fargo,0,0.9843732204967321
102,dalle,Wells_Fargo,1,0.9917800193428996
103,dalle,Wells_Fargo,0,0.967262990954201
104,dalle,Wells_Fargo,0,0.8661354349057491
105,dalle,Wells_Fargo,0,0.871485189958054
106,dalle,Wells_Fargo,0,0.9452749275026747
107,dalle,Wells_Fargo,1,0.9934243457545854
108,dalle,Wells_Fargo,0,0.993722114758995
109,midjourney,BofA,0,0.9580523814709558
110,midjourney,BofA,0,0.9593805948405099
111,midjourney,BofA,0,0.9888592073112568
112,midjourney,BofA,0,0.860954869636545
113,midjourney,BofA,0,0.964039149832354
114,midjourney,BofA,1,0.8624946324173091
115,midjourney,BofA,0,0.9859493960144602
117,midjourney,BofA,0,0.8717073845040191
118,midjourney,BofA,0,0.9515674892127
121,midjourney,BofA,0,0.9703543713964264
122,midjourney,BofA,0,0.9918213787496906
123,midjourney,BofA,0,0.9864944223960178
124,midjourney,BofA,0,0.9528744843511123
125,midjourney,BofA,0,0.9602878233683683
126,midjourney,BofA,0,0.9903481676467988
127,midjourney,BofA,0,0.9914362936047136
129,midjourney,BofA,0,0.9861507135376488
130,midjourney,BofA,0,0.9692293160148497
133,midjourney,BofA,0,0.9379442022692956
135,midjourney,BofA,0,0.971231575465713
139,midjourney,Citibank,0,0.965356324058679
141,midjourney,Citibank,0,0.9112137103204174
142,midjourney,Citibank,0,0.9631485882658009
143,midjourney,Citibank,1,0.8988535439755074
144,midjourney,Citibank,0,0.9786702139713802
145,midjourney,Citibank,0,0.9426889470634506
146,midjourney,Citibank,0,0.9841335630516705
147,midjourney,Citibank,0,0.9868130352899465
148,midjourney,Citibank,0,0.9716712843036768
149,midjourney,Citibank,0,0.9738337414168006
150,midjourney,Citibank,0,0.8689991455989425
152,midjourney,Citibank,0,0.8627366641106118
155,midjourney,Citibank,0,0.9892358055669375
156,midjourney,Citibank,0,0.9419862530075869
157,midjourney,Citibank,0,0.9360200851672736
158,midjourney,Citibank,0,0.9735347941277341
159,midjourney,Citibank,0,0.9994370784692825
160,midjourney,JPMorgan,0,0.8725582891369967
161,midjourney,JPMorgan,0,0.9947584486907758
162,midjourney,JPMorgan,0,0.9550303098405675
163,midjourney,JPMorgan,0,0.9834236659178307
164,midjourney,JPMorgan,0,0.9936406597772117
165,midjourney,JPMorgan,0,0.8713113923317313
166,midjourney,JPMorgan,1,0.8613431379928964
167,midjourney,JPMorgan,0,0.8718923162779004
168,midjourney,JPMorgan,0,0.9554382706183164
170,midjourney,JPMorgan,0,0.991826708068372
172,midjourney,JPMorgan,0,0.9792880154100384
173,midjourney,JPMorgan,0,0.9892749142961603
176,midjourney,JPMorgan,0,0.8508856014202733
177,midjourney,JPMorgan,0,0.869836076261839
178,midjourney,JPMorgan,0,0.9959808292882921
179,midjourney,JPMorgan,0,0.9974087245530199
181,midjourney,JPMorgan,0,0.9922866999718788
182,midjourney,JPMorgan,0,0.907425374497356
183,midjourney,JPMorgan,1,0.9771805869116879
184,midjourney,JPMorgan,0,0.899119840110923
185,midjourney,JPMorgan,0,0.930213659588386
186,midjourney,JPMorgan,0,0.9576890214335
187,midjourney,JPMorgan,0,0.9876922619324469
188,midjourney,JPMorgan,0,0.9544805171859962
190,midjourney,JPMorgan,0,0.9756803797969476
191,midjourney,JPMorgan,0,0.9793482165080649
192,midjourney,JPMorgan,0,0.9674819643053529
194,midjourney,JPMorgan,0,0.9463789875430302
195,midjourney,JPMorgan,0,0.986458992489056
196,midjourney,US,0,0.9400207307413193
197,midjourney,US,0,0.8540245813316445
200,midjourney,US,0,0.9394687870429239
201,midjourney,US,0,0.9715980478849535
202,midjourney,US,0,0.954977631244593
203,midjourney,US,0,0.9601805435613139
204,midjourney,US,0,0.9859820406376885
208,midjourney,US,1,0.8575247760132643
210,midjourney,US,0,0.995409818308221
211,midjourney,US,0,0.9712198697566308
212,midjourney,US,0,0.9717384724106687
214,midjourney,US,0,0.9513105690082776
215,midjourney,US,1,0.9704642588536923
218,midjourney,Wells_Fargo,0,0.9895262558388271
219,midjourney,Wells_Fargo,1,0.8720543891550003
220,midjourney,Wells_Fargo,0,0.9847534111150029
221,midjourney,Wells_Fargo,0,0.988271592026674
222,midjourney,Wells_Fargo,1,0.9940360301360813
223,midjourney,Wells_Fargo,1,0.9989189028042519
224,midjourney,Wells_Fargo,1,0.9948818102350963
225,midjourney,Wells_Fargo,0,0.9794298225090672
226,midjourney,Wells_Fargo,0,0.8877744278767307
228,midjourney,Wells_Fargo,0,0.9960107537555414
229,midjourney,Wells_Fargo,0,0.9984172281712203
230,midjourney,Wells_Fargo,1,0.8684046266638872
231,midjourney,Wells_Fargo,0,0.9742147063751871
232,midjourney,Wells_Fargo,0,0.9725572054488318
233,midjourney,Wells_Fargo,0,0.9534078903294338
234,midjourney,Wells_Fargo,0,0.9758474856855839
236,midjourney,Wells_Fargo,0,0.9938527982975802
237,midjourney,Wells_Fargo,0,0.9604530469496044
240,midjourney,Wells_Fargo,0,0.9712549578920038
241,midjourney,Wells_Fargo,0,0.9780631621941852
242,midjourney,Wells_Fargo,0,0.9525666724639041
243,midjourney,Wells_Fargo,0,0.9454238941583246
244,stable_diffusion,BofA,1,0.9960767266565385
245,stable_diffusion,BofA,0,0.86764671714746
246,stable_diffusion,BofA,0,0.9576970825961157
247,stable_diffusion,BofA,0,0.9672083720124072
248,stable_diffusion,BofA,0,0.9748772408521333
249,stable_diffusion,BofA,0,0.9879786224773699
250,stable_diffusion,BofA,1,0.99837132447761
251,stable_diffusion,BofA,1,0.9976570344063889
252,stable_diffusion,BofA,0,0.9860359010392814
253,stable_diffusion,BofA,0,0.9920626953945335
254,stable_diffusion,BofA,0,0.9522035029364796
255,stable_diffusion,BofA,1,0.9946150875327485
256,stable_diffusion,BofA,0,0.9702872618497007
257,stable_diffusion,BofA,0,0.9699481699503267
258,stable_diffusion,BofA,1,0.9962235821793652
259,stable_diffusion,Citibank,1,0.9983447842545004
260,stable_diffusion,Citibank,0,0.9857608602963718
261,stable_diffusion,Citibank,1,0.9969786027558022
262,stable_diffusion,Citibank,0,0.9895988174281947
263,stable_diffusion,Citibank,1,0.9980211607214922
264,stable_diffusion,Citibank,1,0.9989687727229801
265,stable_diffusion,Citibank,0,0.9830372408400909
266,stable_diffusion,Citibank,1,0.9908852670392991
267,stable_diffusion,Citibank,1,0.9937763068754069
268,stable_diffusion,Citibank,0,0.9953476864435504
269,stable_diffusion,Citibank,1,0.8696169278236552
270,stable_diffusion,Citibank,1,0.999461693899123
271,stable_diffusion,Citibank,0,0.9399116931350389
272,stable_diffusion,Citibank,0,0.903471439478833
273,stable_diffusion,Citibank,0,0.9909108628048306
274,stable_diffusion,Citibank,0,0.9966257590320422
275,stable_diffusion,Citibank,0,0.9689681761476032
276,stable_diffusion,Citibank,0,0.9808756680037959
277,stable_diffusion,Citibank,0,0.9953289074139033
278,stable_diffusion,Citibank,0,0.9953322976768455
279,stable_diffusion,JPMorgan,0,0.9934445993373343
280,stable_diffusion,JPMorgan,1,0.9977891452888676
281,stable_diffusion,JPMorgan,0,0.9847107844929908
282,stable_diffusion,JPMorgan,1,0.9962486647933426
283,stable_diffusion,JPMorgan,1,0.998562181538277
284,stable_diffusion,JPMorgan,0,0.9918156382205686
285,stable_diffusion,JPMorgan,0,0.9971774700893918
286,stable_diffusion,JPMorgan,1,0.9772379181267044
287,stable_diffusion,JPMorgan,0,0.964108823842015
288,stable_diffusion,JPMorgan,0,0.9994078500640674
289,stable_diffusion,JPMorgan,1,0.9980593575465312
290,stable_diffusion,JPMorgan,0,0.9964866253253686
292,stable_diffusion,JPMorgan,0,0.9650620014238491
293,stable_diffusion,US,0,0.8664035348548742
294,stable_diffusion,US,1,0.997422052365059
295,stable_diffusion,US,0,0.9930823998459759
296,stable_diffusion,US,0,0.994186834378194
297,stable_diffusion,US,0,0.9881894091557157
298,stable_diffusion,US,1,0.9988060316389463
299,stable_diffusion,US,1,0.8710670936638278
300,stable_diffusion,US,0,0.990066732970469
301,stable_diffusion,US,0,0.986052157228278
302,stable_diffusion,US,0,0.9940390311137176
303,stable_diffusion,US,0,0.9682592042560362
304,stable_diffusion,US,0,0.9672764211600791
305,stable_diffusion,US,1,0.8741410030218772
306,stable_diffusion,US,0,0.980779113660162
307,stable_diffusion,US,1,0.8743495304213675
308,stable_diffusion,Wells_Fargo,1,0.9965149960168778
309,stable_diffusion,Wells_Fargo,1,0.999398064621126
310,stable_diffusion,Wells_Fargo,0,0.9963806166127084
311,stable_diffusion,Wells_Fargo,0,0.9872567656117319
312,stable_diffusion,Wells_Fargo,0,0.9861047209038389
313,stable_diffusion,Wells_Fargo,0,0.997724479821612
314,stable_diffusion,Wells_Fargo,1,0.9872147973639509
315,stable_diffusion,Wells_Fargo,0,0.985930391589239
317,stable_diffusion,Wells_Fargo,1,0.9988549861347549
318,stable_diffusion,Wells_Fargo,0,0.9918683161571478
319,stable_diffusion,Wells_Fargo,0,0.9902202930894253
320,stable_diffusion,Wells_Fargo,1,0.9965682861913903
321,stable_diffusion,Wells_Fargo,0,0.9933613753723038
322,stable_diffusion,Wells_Fargo,1,0.9987214093184797
